id,marca,produto,descricao,preco,url_produto,categoria_original,categoria,volume
f10e76ce-ec4e-4838-bc6f-46214c0fd0dd,Adcos,Hidrat Soluntion Leite Corporal Hidratante e Nutritivo - 480ml,"O Leite Hidratante e Nutritivo da linha Hidrat Solution é um creme que hidrata e ajuda a prevenir o ressecamento e o envelhecimento precoce, deixando a pele hidratada e macia, suave e delicadamente perfumada, com aspecto bonito e saudável. Ele devolve a água à pele, possui textura fina e suave ao toque. Esse hidratante corporal possui nutrição intensiva, regenera e protege a pele contra a ação dos radicais livres.","R$ 179,00",https://www.lojaadcos.com.br/hidrat-solution-leite-hidratante-e-nutritivo/p?skuId=2000159,Cuidados Diários,Cuidados Diários,480ml
9e7ecdf6-ae5e-42a1-8429-445f44d3be7b,Adcos,Óleo Seco de Algodão - Pós Banho - 120ml,"Um óleo pós banho diferente de todos que você conhece, com finíssima textura, toque seco e acetinado, hidrata e nutre sem deixar a pele oleosa.","R$ 209,00",https://www.lojaadcos.com.br/home-spa-oleo-seco-de-algodao-120-ml-/p?skuId=2000109,Relaxamento e Bem-Estar,Relaxamento e Bem-Estar,120ml
bdc73aec-d4d0-49ad-b917-4d2dc995326c,Adcos,Golden Care Creme Anti-Aging Corporal - 240g,"O Creme Anti-Aging Corporal Golden Care é um hidratante que promove nutrição intensiva para pele secas e maduras. Sua fórmula possui princípios ativos que previnem e minimizam a perda de elasticidade, tônus e hidratação, garantindo uma pele uniforme, hidratada e revitalizada. É indicado para mulheres pós-menopausa.","R$ 289,00",https://www.lojaadcos.com.br/creme-revitalizante-corporal-golden-care-240-g/p?skuId=2000062,Cuidados Especiais,Cuidados Especiais,240g
f51e6e48-d370-4a69-b0d1-89580c52eef3,Adcos,Desodorante Spray - Antitranspirante - 120ml,"O Desodorante Spray é antitranspirante e antisséptico, sem álcool em sua composição e sem perfume. Diminui a transpiração excessiva e a proliferação bacteriana responsável pelo odor desagradável. Possui ação bactericida.","R$ 139,00",https://www.lojaadcos.com.br/desodorante-spray-140-ml/p?skuId=2000038,Desodorante,Desodorante,120ml
04b16465-1331-42b0-a263-40ae637e3695,Adcos,Elastcream - Creme para Estrias - 200g,"O Elastcream é um creme para estrias que hidrata, nutre e promove aumento da elasticidade da pele, prevenindo o surgimento de estrias. Tem rápida absorção, não deixa resíduos de oleosidade e fortalece as fibras, servindo para prevenção e tratamento para estrias.","R$ 269,00",https://www.lojaadcos.com.br/creme-para-o-corpo-elastcream-240-g/p?skuId=2000035,Cuidados Especiais,Cuidados Especiais,200g
9468cfb6-b44b-4072-8f34-0ab591a7f4e5,Adcos,Hair Solution Condicionador Nutri Ativo - Restauração - 300ml,"O Hair Solution Condicionador Nutri Ativo foi criado para tratar cabelos desvitalizados, quebradiços, danificados por agentes naturais e químicos. Ele garante hidratação e nutrição intensiva dos fios, recuperando cabelos ressecados e/ou danificados.","R$ 189,00",https://www.lojaadcos.com.br/hair-solution-condicionador-nutri-ativo-300-ml/p?skuId=2000048,Restauração,Restauração,300ml
443fd53f-2782-4a6f-aa3d-5c7342a39e67,Adcos,Hair Solution Shampoo Nutri Ativo - Restauração - 300ml,"O Hair Solution Shampoo Nutri Ativo foi criado para nutrição intensiva e reestruturação capilar, com ação antiquebra e pró-elasticidade dos fios. Esse shampoo nutritivo promove força aos cabelos, devolve o brilho, maciez e hidrata os fios, protegendo das agressões externas. Ele repõe a hidratação através de 8 aminoácidos hidratantes e atua limpando profundamente sem ressecar, melhora a flexibilidade e a resistência dos fios, além de não conter sal, álcool e ser dermatologicamente testado.","R$ 179,00",https://www.lojaadcos.com.br/hair-solution-shampoo-nutri-ativo-300-ml/p?skuId=2000047,Restauração,Restauração,300ml
ded93ad3-057f-42dd-8f26-5a364de9c54a,Adcos,Hair Solution Shampoo Fito Ativo - Fortificante - 300ml,"O Hair Solution Shampoo Fito Ativo possui ação antiqueda, fortalece e dá brilho, com nutrientes essenciais para os cabelos crescerem fortes e saudáveis. Esse shampoo antiqueda estimula o crescimento dos fios, possui ação antiquebra e pró-elasticidade, que dá força e resistência aos cabelos.  Limpa profundamente sem ressecar, previne a queda dos cabelos através da ação estimulante e revitalizante do bulbo capilar.","R$ 199,00",https://www.lojaadcos.com.br/hair-solution-shampoo-fito-ativo-hair-solution-300-ml/p?skuId=2000046,Antiqueda,Antiqueda,300ml
f2c97751-59c0-4d11-a5c5-8a6752054622,Adcos,Hair Solution Loção Fortificante Fito Ativa - Auxiliar Antiqueda - 120ml,"O Hair Solution Loção Fito Ativa é um concentrado em spray com nutrientes essenciais para o cabelo crescer forte e saudável. Ele possui ação antioxidante, ajuda no crescimento dos fios, auxilia na prevenção da queda e fortalece os cabelos. Sua textura é leve e de rápida absorção, que não deixa resíduos, além disso, o produto possui ceramidas, que mantêm os fios macios e brilhantes.","R$ 169,00",https://www.lojaadcos.com.br/hair-solution-locao-fito-ativa-antiqueda-120-ml/p?skuId=2000045,Antiqueda,Antiqueda,120ml
519e1d5a-bc37-484c-887a-f1371020246a,Adcos,Hair Solution Shampoo Bio Ativo - Anticaspa - 300ml,"O Hair Solution Shampoo Bio Ativo combate a caspa e limpa profundamente a região, com ação antisséptica, purificante e normalizadora da função sebácea. Ele reduz a coceira e a descamação do couro cabeludo, limpa profundamente sem ressecar e não agride o cabelo e nem o couro cabeludo. Ele favorece a eliminação da caspa visivelmente e restaura o equilíbrio fisiológico do couro cabeludo.","R$ 179,00",https://www.lojaadcos.com.br/hair-solution-shampoo-bio-ativo-300-ml/p?skuId=2000044,Anticaspa,Anticaspa,300ml
